id	topic	subtopic	type	difficulty	marks	family	scenario	prompt	answer_outline	tags	source	exam_trap
Q00876	Architectural Patterns	Peer-to-Peer	Scenario application	Hard	6	Past Paper Q1	Smart Home Platform	"Smart Home Platform: Users of the Smart Home Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Peer-to-Peer** (C&C Pattern).
- Architectural problem: let equal distributed entities organize and share resources/services without making a single peer critical.
- Mechanism: distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
- Map the source-grounded elements (Peer, optional specialized peer/supernode) and relation/connector (peer request/reply and discovery/search) to the concrete Smart Home Platform.
- Likely enhanced quality: Availability. Likely trade-off: Security.
Full credit requires scenario-specific reasoning, not only the pattern name."	Peer-to-Peer, Smart Home Platform, pattern-selection	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00877	Architectural Patterns	Peer-to-Peer	Elements and relations	Hard	4	Past Paper Q3	Smart Home Platform	"For the Smart Home Platform, assume the architect has chosen Peer-to-Peer to address this requirement: Users of the Smart Home Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Smart Home Platform**: each participating user device or node that contributes and requests the shared resource is a Peer; a discovery node or supernode is optional, not the owner of all resources. A Peer discovers another participant and directly requests/provides the resource through peer request/reply connections, while attachments may change as peers join or leave.	Peer-to-Peer, elements, relations, Smart Home Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00878	Architectural Patterns	Peer-to-Peer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Smart Home Platform	"In the Smart Home Platform, Peer-to-Peer is used as described: Users of the Smart Home Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Availability** because distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
Threatened: **Security** because decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Peer-to-Peer, tradeoff, Availability, Security, Smart Home Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00879	Architectural Patterns	Peer-to-Peer	Constraint / failure reasoning	Very Hard	5	Extended	Smart Home Platform	"An architect claims that once Peer-to-Peer is selected for the Smart Home Platform, its expected quality benefits are guaranteed. Critique the claim using this requirement: Users of the Smart Home Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **attachments can change at runtime** and the weakness **decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Peer-to-Peer, edge-case, critical-thinking, Smart Home Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00880	Architectural Patterns	Peer-to-Peer vs Client-Server	Compare and distinguish	Brutal	6	Extended	Smart Home Platform	"A team designing the Smart Home Platform is split between **Peer-to-Peer** and **Client-Server** for the following requirement:
Users of the Smart Home Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Peer-to-Peer** for the stated requirement because its core problem is: let equal distributed entities organize and share resources/services without making a single peer critical. Peer-to-Peer centers on Peer, optional specialized peer/supernode and peer request/reply and discovery/search; **Client-Server** instead addresses: provide shared services/resources to distributed clients through asymmetric request/reply interactions. The alternative becomes preferable if the requirement shifts toward: users on distributed devices retrieve centrally managed online services/data.	Peer-to-Peer, Client-Server, comparison, Smart Home Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf; Lecture4_ArchitecturalPatterns_7_CCPatterns_Client-Server.pdf	
Q00881	Architectural Patterns	Peer-to-Peer	Scenario application	Hard	6	Past Paper Q1	Logistics Tracking System	"Logistics Tracking System: Users of the Logistics Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Peer-to-Peer** (C&C Pattern).
- Architectural problem: let equal distributed entities organize and share resources/services without making a single peer critical.
- Mechanism: distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
- Map the source-grounded elements (Peer, optional specialized peer/supernode) and relation/connector (peer request/reply and discovery/search) to the concrete Logistics Platform.
- Likely enhanced quality: Availability. Likely trade-off: Security.
Full credit requires scenario-specific reasoning, not only the pattern name."	Peer-to-Peer, Logistics Tracking System, pattern-selection	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00882	Architectural Patterns	Peer-to-Peer	Elements and relations	Hard	4	Past Paper Q3	Logistics Tracking System	"For the Logistics Tracking System, assume the architect has chosen Peer-to-Peer to address this requirement: Users of the Logistics Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Logistics Tracking System**: each participating user device or node that contributes and requests the shared resource is a Peer; a discovery node or supernode is optional, not the owner of all resources. A Peer discovers another participant and directly requests/provides the resource through peer request/reply connections, while attachments may change as peers join or leave.	Peer-to-Peer, elements, relations, Logistics Tracking System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00883	Architectural Patterns	Peer-to-Peer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Logistics Tracking System	"In the Logistics Tracking System, Peer-to-Peer is used as described: Users of the Logistics Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Availability** because distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
Threatened: **Security** because decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Peer-to-Peer, tradeoff, Availability, Security, Logistics Tracking System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00884	Architectural Patterns	Peer-to-Peer	Constraint / failure reasoning	Very Hard	5	Extended	Logistics Tracking System	"An architect claims that once Peer-to-Peer is selected for the Logistics Tracking System, its expected quality benefits are guaranteed. Critique the claim using this requirement: Users of the Logistics Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **attachments can change at runtime** and the weakness **decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Peer-to-Peer, edge-case, critical-thinking, Logistics Tracking System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00885	Architectural Patterns	Peer-to-Peer vs Client-Server	Compare and distinguish	Brutal	6	Extended	Logistics Tracking System	"A team designing the Logistics Tracking System is split between **Peer-to-Peer** and **Client-Server** for the following requirement:
Users of the Logistics Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Peer-to-Peer** for the stated requirement because its core problem is: let equal distributed entities organize and share resources/services without making a single peer critical. Peer-to-Peer centers on Peer, optional specialized peer/supernode and peer request/reply and discovery/search; **Client-Server** instead addresses: provide shared services/resources to distributed clients through asymmetric request/reply interactions. The alternative becomes preferable if the requirement shifts toward: users on distributed devices retrieve centrally managed online services/data.	Peer-to-Peer, Client-Server, comparison, Logistics Tracking System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf; Lecture4_ArchitecturalPatterns_7_CCPatterns_Client-Server.pdf	
Q00886	Architectural Patterns	Peer-to-Peer	Scenario application	Hard	6	Past Paper Q1	Insurance Claims System	"Insurance Claims System: Users of the Claims Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Peer-to-Peer** (C&C Pattern).
- Architectural problem: let equal distributed entities organize and share resources/services without making a single peer critical.
- Mechanism: distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
- Map the source-grounded elements (Peer, optional specialized peer/supernode) and relation/connector (peer request/reply and discovery/search) to the concrete Claims Platform.
- Likely enhanced quality: Availability. Likely trade-off: Security.
Full credit requires scenario-specific reasoning, not only the pattern name."	Peer-to-Peer, Insurance Claims System, pattern-selection	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00887	Architectural Patterns	Peer-to-Peer	Elements and relations	Hard	4	Past Paper Q3	Insurance Claims System	"For the Insurance Claims System, assume the architect has chosen Peer-to-Peer to address this requirement: Users of the Claims Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Insurance Claims System**: each participating user device or node that contributes and requests the shared resource is a Peer; a discovery node or supernode is optional, not the owner of all resources. A Peer discovers another participant and directly requests/provides the resource through peer request/reply connections, while attachments may change as peers join or leave.	Peer-to-Peer, elements, relations, Insurance Claims System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00888	Architectural Patterns	Peer-to-Peer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Insurance Claims System	"In the Insurance Claims System, Peer-to-Peer is used as described: Users of the Claims Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Availability** because distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
Threatened: **Security** because decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Peer-to-Peer, tradeoff, Availability, Security, Insurance Claims System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00889	Architectural Patterns	Peer-to-Peer	Constraint / failure reasoning	Very Hard	5	Extended	Insurance Claims System	"An architect claims that once Peer-to-Peer is selected for the Insurance Claims System, its expected quality benefits are guaranteed. Critique the claim using this requirement: Users of the Claims Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **attachments can change at runtime** and the weakness **decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Peer-to-Peer, edge-case, critical-thinking, Insurance Claims System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00890	Architectural Patterns	Peer-to-Peer vs Client-Server	Compare and distinguish	Brutal	6	Extended	Insurance Claims System	"A team designing the Insurance Claims System is split between **Peer-to-Peer** and **Client-Server** for the following requirement:
Users of the Claims Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Peer-to-Peer** for the stated requirement because its core problem is: let equal distributed entities organize and share resources/services without making a single peer critical. Peer-to-Peer centers on Peer, optional specialized peer/supernode and peer request/reply and discovery/search; **Client-Server** instead addresses: provide shared services/resources to distributed clients through asymmetric request/reply interactions. The alternative becomes preferable if the requirement shifts toward: users on distributed devices retrieve centrally managed online services/data.	Peer-to-Peer, Client-Server, comparison, Insurance Claims System	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf; Lecture4_ArchitecturalPatterns_7_CCPatterns_Client-Server.pdf	
Q00891	Architectural Patterns	Peer-to-Peer	Scenario application	Hard	6	Past Paper Q1	Hotel Booking Platform	"Hotel Booking Platform: Users of the Hotel Booking Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Peer-to-Peer** (C&C Pattern).
- Architectural problem: let equal distributed entities organize and share resources/services without making a single peer critical.
- Mechanism: distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
- Map the source-grounded elements (Peer, optional specialized peer/supernode) and relation/connector (peer request/reply and discovery/search) to the concrete Hotel Booking Platform.
- Likely enhanced quality: Availability. Likely trade-off: Security.
Full credit requires scenario-specific reasoning, not only the pattern name."	Peer-to-Peer, Hotel Booking Platform, pattern-selection	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00892	Architectural Patterns	Peer-to-Peer	Elements and relations	Hard	4	Past Paper Q3	Hotel Booking Platform	"For the Hotel Booking Platform, assume the architect has chosen Peer-to-Peer to address this requirement: Users of the Hotel Booking Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Hotel Booking Platform**: each participating user device or node that contributes and requests the shared resource is a Peer; a discovery node or supernode is optional, not the owner of all resources. A Peer discovers another participant and directly requests/provides the resource through peer request/reply connections, while attachments may change as peers join or leave.	Peer-to-Peer, elements, relations, Hotel Booking Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00893	Architectural Patterns	Peer-to-Peer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Hotel Booking Platform	"In the Hotel Booking Platform, Peer-to-Peer is used as described: Users of the Hotel Booking Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Availability** because distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
Threatened: **Security** because decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Peer-to-Peer, tradeoff, Availability, Security, Hotel Booking Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00894	Architectural Patterns	Peer-to-Peer	Constraint / failure reasoning	Very Hard	5	Extended	Hotel Booking Platform	"An architect claims that once Peer-to-Peer is selected for the Hotel Booking Platform, its expected quality benefits are guaranteed. Critique the claim using this requirement: Users of the Hotel Booking Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **attachments can change at runtime** and the weakness **decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Peer-to-Peer, edge-case, critical-thinking, Hotel Booking Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00895	Architectural Patterns	Peer-to-Peer vs Client-Server	Compare and distinguish	Brutal	6	Extended	Hotel Booking Platform	"A team designing the Hotel Booking Platform is split between **Peer-to-Peer** and **Client-Server** for the following requirement:
Users of the Hotel Booking Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Peer-to-Peer** for the stated requirement because its core problem is: let equal distributed entities organize and share resources/services without making a single peer critical. Peer-to-Peer centers on Peer, optional specialized peer/supernode and peer request/reply and discovery/search; **Client-Server** instead addresses: provide shared services/resources to distributed clients through asymmetric request/reply interactions. The alternative becomes preferable if the requirement shifts toward: users on distributed devices retrieve centrally managed online services/data.	Peer-to-Peer, Client-Server, comparison, Hotel Booking Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf; Lecture4_ArchitecturalPatterns_7_CCPatterns_Client-Server.pdf	
Q00896	Architectural Patterns	Peer-to-Peer	Scenario application	Hard	6	Past Paper Q1	Online Learning Platform	"Online Learning Platform: Users of the Learning Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Peer-to-Peer** (C&C Pattern).
- Architectural problem: let equal distributed entities organize and share resources/services without making a single peer critical.
- Mechanism: distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
- Map the source-grounded elements (Peer, optional specialized peer/supernode) and relation/connector (peer request/reply and discovery/search) to the concrete Learning Platform.
- Likely enhanced quality: Availability. Likely trade-off: Security.
Full credit requires scenario-specific reasoning, not only the pattern name."	Peer-to-Peer, Online Learning Platform, pattern-selection	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00897	Architectural Patterns	Peer-to-Peer	Elements and relations	Hard	4	Past Paper Q3	Online Learning Platform	"For the Online Learning Platform, assume the architect has chosen Peer-to-Peer to address this requirement: Users of the Learning Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Online Learning Platform**: each participating user device or node that contributes and requests the shared resource is a Peer; a discovery node or supernode is optional, not the owner of all resources. A Peer discovers another participant and directly requests/provides the resource through peer request/reply connections, while attachments may change as peers join or leave.	Peer-to-Peer, elements, relations, Online Learning Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00898	Architectural Patterns	Peer-to-Peer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Online Learning Platform	"In the Online Learning Platform, Peer-to-Peer is used as described: Users of the Learning Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Availability** because distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
Threatened: **Security** because decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Peer-to-Peer, tradeoff, Availability, Security, Online Learning Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00899	Architectural Patterns	Peer-to-Peer	Constraint / failure reasoning	Very Hard	5	Extended	Online Learning Platform	"An architect claims that once Peer-to-Peer is selected for the Online Learning Platform, its expected quality benefits are guaranteed. Critique the claim using this requirement: Users of the Learning Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **attachments can change at runtime** and the weakness **decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Peer-to-Peer, edge-case, critical-thinking, Online Learning Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00900	Architectural Patterns	Peer-to-Peer vs Client-Server	Compare and distinguish	Brutal	6	Extended	Online Learning Platform	"A team designing the Online Learning Platform is split between **Peer-to-Peer** and **Client-Server** for the following requirement:
Users of the Learning Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Peer-to-Peer** for the stated requirement because its core problem is: let equal distributed entities organize and share resources/services without making a single peer critical. Peer-to-Peer centers on Peer, optional specialized peer/supernode and peer request/reply and discovery/search; **Client-Server** instead addresses: provide shared services/resources to distributed clients through asymmetric request/reply interactions. The alternative becomes preferable if the requirement shifts toward: users on distributed devices retrieve centrally managed online services/data.	Peer-to-Peer, Client-Server, comparison, Online Learning Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf; Lecture4_ArchitecturalPatterns_7_CCPatterns_Client-Server.pdf	
Q00901	Architectural Patterns	Peer-to-Peer	Scenario application	Hard	6	Past Paper Q1	Cybersecurity Monitoring Platform	"Cybersecurity Monitoring Platform: Users of the Security Monitoring Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Peer-to-Peer** (C&C Pattern).
- Architectural problem: let equal distributed entities organize and share resources/services without making a single peer critical.
- Mechanism: distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
- Map the source-grounded elements (Peer, optional specialized peer/supernode) and relation/connector (peer request/reply and discovery/search) to the concrete Security Monitoring Platform.
- Likely enhanced quality: Availability. Likely trade-off: Security.
Full credit requires scenario-specific reasoning, not only the pattern name."	Peer-to-Peer, Cybersecurity Monitoring Platform, pattern-selection	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00902	Architectural Patterns	Peer-to-Peer	Elements and relations	Hard	4	Past Paper Q3	Cybersecurity Monitoring Platform	"For the Cybersecurity Monitoring Platform, assume the architect has chosen Peer-to-Peer to address this requirement: Users of the Security Monitoring Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Cybersecurity Monitoring Platform**: each participating user device or node that contributes and requests the shared resource is a Peer; a discovery node or supernode is optional, not the owner of all resources. A Peer discovers another participant and directly requests/provides the resource through peer request/reply connections, while attachments may change as peers join or leave.	Peer-to-Peer, elements, relations, Cybersecurity Monitoring Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00903	Architectural Patterns	Peer-to-Peer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Cybersecurity Monitoring Platform	"In the Cybersecurity Monitoring Platform, Peer-to-Peer is used as described: Users of the Security Monitoring Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Availability** because distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
Threatened: **Security** because decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Peer-to-Peer, tradeoff, Availability, Security, Cybersecurity Monitoring Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00904	Architectural Patterns	Peer-to-Peer	Constraint / failure reasoning	Very Hard	5	Extended	Cybersecurity Monitoring Platform	"An architect claims that once Peer-to-Peer is selected for the Cybersecurity Monitoring Platform, its expected quality benefits are guaranteed. Critique the claim using this requirement: Users of the Security Monitoring Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **attachments can change at runtime** and the weakness **decentralization makes trust, consistency, backup, recovery and security management harder; small networks may not achieve expected qualities**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Peer-to-Peer, edge-case, critical-thinking, Cybersecurity Monitoring Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	
Q00905	Architectural Patterns	Peer-to-Peer vs Client-Server	Compare and distinguish	Brutal	6	Extended	Cybersecurity Monitoring Platform	"A team designing the Cybersecurity Monitoring Platform is split between **Peer-to-Peer** and **Client-Server** for the following requirement:
Users of the Security Monitoring Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Peer-to-Peer** for the stated requirement because its core problem is: let equal distributed entities organize and share resources/services without making a single peer critical. Peer-to-Peer centers on Peer, optional specialized peer/supernode and peer request/reply and discovery/search; **Client-Server** instead addresses: provide shared services/resources to distributed clients through asymmetric request/reply interactions. The alternative becomes preferable if the requirement shifts toward: users on distributed devices retrieve centrally managed online services/data.	Peer-to-Peer, Client-Server, comparison, Cybersecurity Monitoring Platform	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf; Lecture4_ArchitecturalPatterns_7_CCPatterns_Client-Server.pdf	
Q00906	Architectural Patterns	Peer-to-Peer	Scenario application	Hard	6	Past Paper Q1	Warehouse Management System	"Warehouse Management System: Users of the Warehouse Platform should be able to contribute and directly share a resource with one another. Participants may join or leave dynamically, and no single participant should be essential to the service.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Peer-to-Peer** (C&C Pattern).
- Architectural problem: let equal distributed entities organize and share resources/services without making a single peer critical.
- Mechanism: distributes both demand and service/resource provision across peers; overlapping peer capabilities provide alternatives when one peer disappears.
- Map the source-grounded elements (Peer, optional specialized peer/supernode) and relation/connector (peer request/reply and discovery/search) to the concrete Warehouse Platform.
- Likely enhanced quality: Availability. Likely trade-off: Security.
Full credit requires scenario-specific reasoning, not only the pattern name."	Peer-to-Peer, Warehouse Management System, pattern-selection	Lecture4_ArchitecturalPatterns_8_CCPatterns_Peer-to-Peer.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
